	signature	seed	d_avg
0	[(-1, 2), (-1, 2)]	44	
1	[(-1, 2), (-1, 2)]	46	
2	[(-1, 2), (-1, 2)]	47	
3	[(-1, 2), (-1, 2)]	48	
4	[(-1, 2), (-1, 2)]	49	
5	[(-1, 2), (-1, 2)]	50	
6	[(-1, 2), (-1, 2)]	51	
7	[(-1, 2), (-1, 2)]	52	
8	[(-1, 2), (-1, 2)]	53	
9	[(-1, 2), (-1, 2)]	54	
10	[(-1, 2), (0, 2)]	55	
11	[(-1, 2), (0, 2)]	56	
12	[(-1, 2), (0, 2)]	57	
13	[(-1, 2), (0, 2)]	58	
14	[(-1, 2), (0, 2)]	59	
15	[(-1, 2), (0, 2)]	60	
16	[(-1, 2), (0, 2)]	61	
17	[(-1, 2), (0, 2)]	62	
18	[(-1, 2), (0, 2)]	63	
19	[(-1, 2), (0, 2)]	64	
20	[(-1, 2), (1, 2)]	65	
21	[(-1, 2), (1, 2)]	66	
22	[(-1, 2), (1, 2)]	67	
23	[(-1, 2), (1, 2)]	68	
24	[(-1, 2), (1, 2)]	69	
25	[(-1, 2), (1, 2)]	70	
26	[(-1, 2), (1, 2)]	71	
27	[(-1, 2), (1, 2)]	72	
28	[(-1, 2), (1, 2)]	73	
29	[(-1, 2), (1, 2)]	74	
30	[(1, 2), (1, 2)]	75	
31	[(1, 2), (1, 2)]	76	
32	[(1, 2), (1, 2)]	77	
33	[(1, 2), (1, 2)]	78	
34	[(1, 2), (1, 2)]	79	
35	[(1, 2), (1, 2)]	80	
36	[(1, 2), (1, 2)]	81	
37	[(1, 2), (1, 2)]	82	
38	[(1, 2), (1, 2)]	83	
39	[(1, 2), (1, 2)]	84	
40	[(1, 2), (0, 2)]	85	
41	[(1, 2), (0, 2)]	86	
42	[(1, 2), (0, 2)]	87	
43	[(1, 2), (0, 2)]	88	
44	[(1, 2), (0, 2)]	89	
45	[(1, 2), (0, 2)]	90	
46	[(1, 2), (0, 2)]	91	
47	[(1, 2), (0, 2)]	92	
48	[(1, 2), (0, 2)]	93	
49	[(1, 2), (0, 2)]	94	
50	[(-1, 4)]	98	
51	[(-1, 4)]	99	
52	[(-1, 4)]	100	
53	[(-1, 4)]	101	
54	[(-1, 4)]	109	
55	[(-1, 4)]	110	
56	[(-1, 4)]	111	
57	[(-1, 4)]	112	
58	[(-1, 4)]	113	
59	[(-1, 4)]	114	
60	[(0, 4)]	115	
61	[(0, 4)]	116	
62	[(0, 4)]	117	
63	[(0, 4)]	118	
64	[(0, 4)]	119	
65	[(0, 4)]	120	
66	[(0, 4)]	121	
67	[(0, 4)]	122	
68	[(0, 4)]	123	
69	[(0, 4)]	124	
70	[(1, 4)]	125	
71	[(1, 4)]	126	
72	[(1, 4)]	127	
73	[(1, 4)]	128	
74	[(1, 4)]	129	
75	[(1, 4)]	130	
76	[(1, 4)]	131	
77	[(1, 4)]	132	
78	[(1, 4)]	133	
79	[(1, 4)]	134	
