sklearn_dt_rmse	sklearn_dt_time	sklearn_rf_rmse	sklearn_rf_time	product_dt_rmse	product_dt_time	product_rf_rmse	product_rf_time	tangent_dt_rmse	tangent_dt_time	tangent_rf_rmse	tangent_rf_time	knn_rmse	knn_time	ambient_mlp_rmse	ambient_mlp_time	ambient_gnn_rmse	ambient_gnn_time	kappa_gcn_rmse	kappa_gcn_time	product_mlr_rmse	product_mlr_time	embedding	signature	trial
19.12194633383923	0.0018832683563232422	15.776693370108102	0.03309273719787598	16.31272453052295	0.03417158126831055	15.19000270279024	0.4023420810699463	15.876238831192167	0.0014047622680664062	16.122695158384357	0.03370070457458496	13.001816008242661	0.0024394989013671875	1974.5483618352716	33.66421151161194	1976.018264614249	42.46911311149597	1976.850529875755	39.22503852844238	1976.1923504295683	34.7429256439209	cs_phds	H	10
13.090276834276885	0.001949310302734375	12.597635563882337	0.03592658042907715	12.476445832222554	0.03836631774902344	12.887988450098845	0.38504600524902344	13.846059236227747	0.0014379024505615234	13.20699273412243	0.03230905532836914	12.668031590986978	0.0025196075439453125	1976.4425313295342	33.91243553161621	1977.8886006100975	42.957547664642334	1978.751060753373	39.75758719444275	1978.0491429347655	30.75615358352661	cs_phds	H	10
14.706189251388379	0.0019199848175048828	12.490383701189561	0.03513741493225098	14.679324074159304	0.03702950477600098	12.620721844281595	0.3997650146484375	14.461906953865356	0.0014920234680175781	12.282307678118867	0.03389763832092285	12.125506275575654	0.002576589584350586	1975.533427640603	34.34109950065613	1976.9832924832588	41.94880557060242	1977.886589402334	39.50293207168579	1977.194340610211	34.203840017318726	cs_phds	H	10
16.659282108138008	0.001947641372680664	16.857353039657074	0.03438735008239746	17.765625646169216	0.03497505187988281	16.760256109149196	0.35144472122192383	17.636732865761378	0.0014727115631103516	17.219944379939488	0.0357058048248291	14.952288347583064	0.0025408267974853516	1974.2932493074422	33.32943248748779	1975.6939889785779	42.28102898597717	1976.5422583048426	39.28600025177002	1975.8561910380897	34.0713152885437	cs_phds	H	10
15.285397872571068	0.0019690990447998047	14.30417347977272	0.03457975387573242	17.955553028585854	0.025073766708374023	13.983354983735675	0.34792089462280273	15.249626058564575	0.0014734268188476562	14.446302835983024	0.03444647789001465	13.546191976831377	0.0023806095123291016	1975.8069808713394	33.911614656448364	1977.282936763714	43.62526822090149	1978.1255413341087	39.97678089141846	1977.3940107696942	31.949495553970337	cs_phds	H	10
14.332517110153956	0.0019366741180419922	10.659154507422905	0.03567361831665039	13.68319146429838	0.030643701553344727	10.999645805256762	0.3498709201812744	15.295464494566321	0.0014433860778808594	11.223961290491511	0.03388786315917969	11.40207084314929	0.002493143081665039	1977.0820029770755	33.91250395774841	1978.5416137490606	43.99544358253479	1979.447329328141	39.944119453430176	1978.7347041822275	34.0001585483551	cs_phds	H	10
18.56728612032082	0.0019218921661376953	17.52375822628235	0.03594017028808594	17.88923118386402	0.0363008975982666	17.490343426491467	0.3960707187652588	18.110953504507574	0.0014672279357910156	17.547893598870733	0.033615827560424805	16.188083542547204	0.002466440200805664	1974.9003717649935	33.7064414024353	1976.4120704139305	42.728025913238525	1977.2403027489897	40.18922209739685	1976.5414683998197	34.69295120239258	cs_phds	H	10
18.171036935004825	0.0019142627716064453	13.774010393580694	0.034769535064697266	15.148279244999294	0.035370826721191406	13.640660447846836	0.3775675296783447	17.94898886467195	0.0014388561248779297	13.084315649727166	0.033852577209472656	12.727078870870793	0.0024955272674560547	1976.1189847457986	33.61752772331238	1977.4208240035107	42.36327266693115	1978.2729301054617	39.66649103164673	1977.6031143412147	34.464715003967285	cs_phds	H	10
13.843459007263226	0.0020051002502441406	12.241876266512396	0.034648895263671875	12.978557196809597	0.024525880813598633	12.561949665109685	0.34957027435302734	14.00153482330504	0.001482248306274414	11.98623281475007	0.0335385799407959	10.991979337503224	0.002669811248779297	1975.781424772448	33.56865406036377	1977.324293272884	42.47103762626648	1978.1804972318919	40.27675414085388	1977.4385240288389	34.84555983543396	cs_phds	H	10
16.739277217365398	0.0019412040710449219	13.788951771743035	0.03434491157531738	14.862487561709408	0.03064727783203125	13.721001049440508	0.3701364994049072	17.296847105580103	0.0014431476593017578	14.10452073883644	0.035784244537353516	13.751473535234105	0.002505064010620117	1975.9483020140267	33.72748112678528	1977.4496668665047	42.51913595199585	1978.2842907073618	40.08394742012024	1977.5676498718913	32.55518913269043	cs_phds	H	10
