sklearn_dt_rmse	sklearn_dt_time	sklearn_rf_rmse	sklearn_rf_time	product_dt_rmse	product_dt_time	product_rf_rmse	product_rf_time	tangent_dt_rmse	tangent_dt_time	tangent_rf_rmse	tangent_rf_time	knn_rmse	knn_time	ambient_mlp_rmse	ambient_mlp_time	ambient_gnn_rmse	ambient_gnn_time	kappa_gcn_rmse	kappa_gcn_time	product_mlr_rmse	product_mlr_time	trial
11.638567058056498	0.0014476776123046875	12.157553494118302	0.035265445709228516	12.794131	0.11139583587646484	13.505843	0.3973989486694336	11.943570871469541	0.0008895397186279297	11.955323829017592	0.03455924987792969	12.804983	0.005106449127197266	25.007616	33.22055149078369	27.734282	39.63872957229614		164.21854066848755		103.87199139595032	0
14.520675103079467	0.0018663406372070312	13.96148466873138	0.03434920310974121	17.348488	0.05196189880371094	16.748503	0.4121079444885254	13.798870142951086	0.0008807182312011719	14.008799244888309	0.03400015830993652	14.536114	0.003814220428466797	29.74182	31.100186824798584	32.779423	41.35393691062927		164.03809547424316		101.33527898788452	1
13.970131842563962	0.0018239021301269531	13.631295097723582	0.035833120346069336	13.357501	0.03805351257324219	16.174768	0.40308618545532227	14.621068027573642	0.0009005069732666016	13.499764612220437	0.03510141372680664	15.092926	0.0037822723388671875	30.071861	32.013442039489746	32.824795	39.70340943336487		163.34926772117615		104.39838457107544	2
10.92695073222869	0.0017545223236083984	10.80386448688024	0.033738136291503906	12.404865	0.03803706169128418	13.429257	0.4123802185058594	11.260308882812279	0.0008816719055175781	10.878976019982257	0.033751726150512695	12.617788	0.0037491321563720703	24.201542	31.945674896240234	26.649904	40.7691924571991		164.98802995681763		104.61335682868958	3
14.156170359470687	0.001291036605834961	13.516645931418427	0.03429913520812988	13.816296	0.04544711112976074	16.04581	0.4147932529449463	15.486717539338953	0.0008969306945800781	14.91272659029107	0.033849239349365234	15.388158	0.003795623779296875	29.225967	32.68441891670227	32.256992	39.43228340148926		164.0493676662445		99.5545871257782	4
10.072658724055962	0.0012969970703125	9.481633488352603	0.03434467315673828	11.014633	0.04234051704406738	10.743564	0.4355769157409668	11.473573993746413	0.0008931159973144531	10.497918946299412	0.033132076263427734	11.123876	0.003751516342163086	23.721937	31.5291965007782	26.50072	40.011916637420654		161.89650297164917		103.27259588241577	5
12.468952108987398	0.0012996196746826172	12.11395023278924	0.03515219688415527	12.674601	0.044934749603271484	16.610287	0.4307589530944824	12.436243387694748	0.0008857250213623047	12.026534767733429	0.03387451171875	12.535589	0.003843069076538086	28.823927	31.63866686820984	31.498817	40.06610870361328		163.9761028289795		103.10558867454529	6
12.573793154076013	0.0018086433410644531	11.15884571218397	0.033977508544921875	13.04958	0.0455777645111084	13.159992	0.4145519733428955	12.648460846167765	0.0008950233459472656	11.609620917641248	0.033049583435058594	13.025053	0.003747224807739258	28.76812	32.3595073223114	31.819448	40.936116218566895		166.01495242118835		105.2588427066803	7
12.145781177726537	0.001573801040649414	12.121359432900187	0.035115957260131836	11.847292	0.04582476615905762	12.988604	0.43659520149230957	12.105804049381112	0.0008947849273681641	11.828125140836356	0.03430366516113281	13.152719	0.0038094520568847656	26.2562	31.728127002716064	29.516357	40.97900366783142		166.02124190330505		102.61416220664978	8
12.877620911392432	0.0018000602722167969	11.824550866499289	0.034507036209106445	13.1108465	0.04952216148376465	13.890892	0.41665101051330566	13.743928204309395	0.0009016990661621094	12.004428721050104	0.03575396537780762	13.117637	0.0037839412689208984	27.54036	32.315093994140625	31.07749	41.713979959487915		166.22726845741272		101.72089266777039	9
