,model,dataset,test_score,n_estimators,min_samples_split,min_samples_leaf,max_depth,max_features,n_features,use_special_dims
0,ProductSpaceRF,0,0.79,24,8,4,9.0,,d_choose_2,False
1,ProductSpaceRF,1,0.69,24,8,4,9.0,,d_choose_2,False
2,ProductSpaceRF,2,0.7366666666666667,24,8,4,9.0,,d_choose_2,False
3,ProductSpaceRF,3,0.74,24,8,4,9.0,,d_choose_2,False
4,ProductSpaceRF,4,0.5933333333333334,24,8,4,9.0,,d_choose_2,False
5,SklearnRF,0,0.75,48,4,4,7.0,sqrt,,
6,SklearnRF,1,0.6966666666666667,48,4,4,7.0,sqrt,,
7,SklearnRF,2,0.7033333333333334,48,4,4,7.0,sqrt,,
8,SklearnRF,3,0.73,48,4,4,7.0,sqrt,,
9,SklearnRF,4,0.6466666666666666,48,4,4,7.0,sqrt,,
10,TangentRF,0,0.7266666666666667,48,4,4,7.0,sqrt,,
11,TangentRF,1,0.7166666666666667,48,4,4,7.0,sqrt,,
12,TangentRF,2,0.7266666666666667,48,4,4,7.0,sqrt,,
13,TangentRF,3,0.74,48,4,4,7.0,sqrt,,
14,TangentRF,4,0.63,48,4,4,7.0,sqrt,,
15,SingleManifoldEnsembleRF,0,0.7633333333333333,96,32,1,,,d_choose_2,True
16,SingleManifoldEnsembleRF,1,0.5566666666666666,96,32,1,,,d_choose_2,True
17,SingleManifoldEnsembleRF,2,0.6733333333333333,96,32,1,,,d_choose_2,True
18,SingleManifoldEnsembleRF,3,0.67,96,32,1,,,d_choose_2,True
19,SingleManifoldEnsembleRF,4,0.59,96,32,1,,,d_choose_2,True
